learning_rate,rmsle_train,rmsle_test,r2_train,r2_test
1e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
1.0655379505623064e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
1.1353711240885201e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
1.2097810206889038e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
1.2890675894140244e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
1.3735504373605123e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
1.4635701180190798e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
1.5594895040582832e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
1.6616952500776907e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
1.7705993512269017e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
1.8866408039732543e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
2.0102873757128835e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
2.142037490358383e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
2.2824222375040978e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
2.43200751326795e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
2.5913963014396624e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
2.761231104130759e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
2.942196531724371e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
3.1350220625651124e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
3.3404849835132444e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
3.559413523216862e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
3.792690190732254e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
4.0412553329506086e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
4.306110925171165e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
4.58832461010084e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
4.889034001561443e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
5.209451270253212e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
5.550868030059811e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
5.914660544591758e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
6.302295274956037e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
6.715334791115135e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
7.155444070664575e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
7.624397210419138e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
8.124084577862974e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
8.656520431290953e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
9.223851039358458e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
9.82836333277001e-10,0.5203597914685133,0.5203597914685133,0.0,0.0
1.0472494122981476e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
1.115883992507748e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
1.1890167424419898e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
1.2669424629259076e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
1.3499752754264324e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
1.4384498882876659e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
1.5327229459526118e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
1.6331744666101668e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
1.740209374062485e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
1.8542591299878543e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
1.9757834731787036e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
2.105272272765703e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
2.2432475028984158e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
2.3902653468423894e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
2.54691843897454e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
2.71383825371428e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
2.8916976510203024e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
3.0812135887140084e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
3.2831500125630402e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
3.4983209357750324e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
3.727593720314938e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
3.971892573273302e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
4.23220227237928e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
4.509572135676154e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
4.8051202513612325e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
5.1200379848408815e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
5.455594781168515e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
5.813143282224713e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
6.19412477926676e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
6.600075022827102e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
7.032630413380658e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
7.493534597735742e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
7.984645497739078e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
8.507942799627444e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
9.065535934216358e-09,0.5203597914685133,0.5203597914685133,0.0,0.0
