alpha,rmsle_train,rmsle_test
1.0412232560483044e-05,inf,inf
1.1094628943275218e-05,inf,inf
1.1821748186466699e-05,inf,inf
1.2596521334671389e-05,inf,inf
1.342207152716012e-05,inf,inf
1.4301726587350879e-05,inf,inf
1.5239032437388273e-05,inf,inf
1.623776739188721e-05,inf,inf
1.7301957388458942e-05,inf,inf
1.843589221641486e-05,inf,inf
1.9644142809066266e-05,inf,inf
2.0931579669325737e-05,inf,inf
2.230339250288494e-05,inf,inf
2.376511113811073e-05,inf,inf
2.5322627816987948e-05,inf,inf
2.698222094696533e-05,inf,inf
2.875058040944877e-05,inf,inf
3.063483452696084e-05,inf,inf
3.264257879767324e-05,inf,inf
3.478190651314126e-05,inf,inf
3.706144138266228e-05,inf,inf
3.949037229576702e-05,inf,inf
4.207849036297398e-05,inf,inf
4.483622838411906e-05,inf,inf
4.777470290335773e-05,inf,inf
5.090575902036676e-05,inf,inf
5.424201813838024e-05,inf,inf
5.7796928841533134e-05,inf,inf
6.158482110660255e-05,inf,inf
6.562096406767554e-05,inf,inf
6.992162756659375e-05,inf,inf
7.450414773728901e-05,inf,inf
7.938699688838223e-05,inf,inf
8.4589857965743e-05,inf,inf
9.01337038951742e-05,inf,inf
9.604088212505369e-05,inf,inf
0.00010233520470972575,inf,inf
0.00010904204429677526,inf,inf
0.0001161884364051099,inf,inf
0.00012380318840613967,inf,inf
0.00013191699564735717,inf,inf
0.00014056256518642135,inf,inf
0.00014977474763452,inf,inf
0.0001595906776404731,inf,inf
0.00017004992358187905,inf,inf
0.00018119464706671222,inf,inf
0.00019306977288832496,inf,inf
0.0002057231701189553,inf,inf
0.00021920584507173233,inf,inf
0.00023357214690901214,inf,inf
0.00024887998672586673,inf,inf
0.0002651910709918535,inf,inf
0.00028257115029208267,inf,inf
0.0003010902843702593,inf,inf
0.0003208231245421074,inf,inf
0.0003418492146175927,inf,inf
0.0003642533115449638,inf,inf
0.0003881257270691532,inf,inf
0.0004135626917817706,inf,inf
0.0004406667430301786,inf,inf
0.0004695471382493421,inf,inf
0.0005003202953826,inf,inf
0.0005331102621667032,inf,inf
0.0005680492161728417,inf,inf
0.0006052779976193343,inf,inf
0.000644946677103762,inf,inf
0.0006872151605431107,inf,inf
0.0007322538337604526,inf,inf
0.0007802442493165044,inf,inf
0.0008313798583547334,inf,inf
0.0008858667904100814,inf,inf
0.0009439246843247663,inf,inf
0.0010057875736205835,inf,inf
0.0010717048298967092,inf,inf
0.0011419421680558648,inf,inf
0.001216782717410923,inf,inf
0.0012965281629896662,inf,inf
0.0013814999616383208,inf,inf
0.0014720406378260014,inf,inf
0.0015685151643735447,inf,inf
0.0016713124336724858,inf,inf
0.0017808468253246812,inf,inf
0.0018975598765218504,inf,inf
0.0020219220618983517,inf,inf
0.002154434690031882,inf,inf
0.0022956319242369095,inf,inf
0.0024460829357967956,inf,inf
0.0026063941983143473,inf,inf
0.002777211932429355,inf,inf
0.0029592247107579515,inf,inf
0.0031531662335543614,inf,inf
0.003359818286283781,inf,inf
0.003580013891028573,inf,inf
0.003814640664431174,inf,inf
0.0040646443957096275,inf,inf
0.004331032859168992,inf,inf
0.004614879876576934,inf,inf
0.004917329645779016,inf,inf
0.005239601353002634,inf,inf
0.005582994087441914,inf,inf
0.005948892077934331,inf,inf
0.0063387702728384876,inf,inf
0.00675420028560558,inf,inf
0.007196856730011514,inf,inf
0.00766852397058701,inf,inf
0.008171103315457187,inf,inf
0.008706620680585118,inf,inf
0.009277234756314059,inf,inf
0.00988524570912826,inf,inf
0.010533104453709382,inf,inf
0.011223422532664151,inf,inf
0.011958982643749769,inf,inf
0.012742749857031322,inf,inf
0.013577883567189277,inf,inf
0.01446775022915648,inf,inf
0.015415936928422734,inf,inf
0.01642626584070927,inf,inf
0.017502809639300974,inf,inf
0.01864990791214294,inf,inf
0.019872184654880533,inf,inf
0.02117456691035712,inf,inf
0.02256230462970635,inf,inf
0.024040991835099643,inf,inf
0.025616589169457218,inf,inf
0.027295447924020017,inf,inf
0.02908433564064045,inf,inf
0.03099046339199427,inf,inf
0.03302151484968176,inf,inf
0.03518567725739266,inf,inf
0.03749167443398878,inf,inf
0.039948801939541624,inf,inf
0.04256696454607867,inf,inf
0.04535671616408702,inf,inf
0.04832930238571752,inf,inf
0.05149670581618343,inf,inf
0.054871694376085876,inf,inf
0.058467872769375775,inf,inf
0.06229973732441835,inf,inf
0.06638273442923075,inf,inf
0.07073332279644438,inf,inf
0.07536903980898542,inf,inf
0.0803085722139152,inf,inf
0.08557183144939984,inf,inf
0.09118003390845662,inf,inf
0.09715578646301848,inf,inf
0.10352317759307378,inf,inf
0.1103078744882215,inf,inf
0.11753722651306367,inf,inf
0.12524037545350694,inf,inf
0.13344837298838355,inf,inf
0.14219430585991646,inf,inf
0.15151342924760514,inf,inf
0.1614433088831602,inf,inf
0.1720239724793599,inf,inf
0.18329807108324375,inf,inf
0.1953110510040627,inf,inf
0.20811133700903905,inf,inf
0.22175052752539295,inf,0.5182571870858338
0.2362836026355175,inf,0.5181856598553087
0.2517691457037277,inf,0.518158708888681
0.26826957952797276,inf,0.5179955187567327
0.28585141796844654,inf,0.5180260675165135
0.3045855340674278,0.5114511770993861,0.5181019440960007
0.32454744574113253,0.5114495686549726,0.5184480618241102
0.3458176201952377,0.5114859544845385,0.5187565978142937
0.3684817982911677,0.5114997773230263,0.5187249799715621
0.39263134017068396,0.5117928024437687,0.5188397841667254
0.41836359353200064,0.5118784127155472,0.5189237269846967
0.44578228604196973,0.5119777899161657,0.5192682688501781
0.47499794346614027,0.5122204395674798,0.5193684536757915
0.5061283352022213,0.5123885044361752,0.5196671448612153
0.539298949012887,0.5124844047243355,0.5193803392593099
0.5746434968715973,0.5128179841182289,0.5195258098490186
0.612304453960519,0.5131561724526825,0.519749882980017
0.6524336329932608,0.513488105791553,0.519767166786479
0.6951927961775591,0.5136280333810976,0.5200497776294838
0.7407543072847155,0.513831862178242,0.52025012418087
0.7893018264543568,0.5141756817053427,0.5205834473174508
0.8410310505352605,0.5145702755959877,0.520821280144217
0.896150501946605,0.5149643565286185,0.520956785579197
0.9548823692395637,0.5153852883666807,0.5214223335138278
1.0174634027476042,0.5157035233010708,0.5221273043424477
1.0841458689358328,0.5159151697830222,0.5226597541009578
1.1551985672964782,0.5161567540572141,0.5229727586825638
1.2309079138896017,0.5162741810280825,0.522838752483762
1.3115790958968503,0.5162702754819198,0.5231425322280442
1.3975373018422867,0.5166527252119409,0.5232582700771388
1.4891290324394058,0.5167687551913629,0.5235032337275688
1.5867234973483146,0.5171436161859675,0.5236903698978216
1.6907141034735782,0.5175243479127254,0.524073415294352
1.8015200408020238,0.5176820584633176,0.5240097548506446
1.919587972173111,0.5179448454007001,0.5246076650510423
2.0453938337933906,0.5181756304267334,0.5247314151969059
2.179444753752979,0.5184970008787737,0.5250772184508666
2.32228109627772,0.5188597814670705,0.5253922391576893
2.4744786399573475,0.5191299306854761,0.5258686269489675
2.6366508987303554,0.5193284947323593,0.5260999155665996
2.809451594981406,0.5197892106459399,0.5264273740983336
2.9935772947204904,0.5202708440980743,0.5268779710342336
3.1897702154663117,0.5206000019924503,0.5269812627796252
3.3988212181526603,0.5209239047938027,0.527239120357427
3.6215729951180675,0.5213031003793224,0.5273924433410188
3.858923467029899,0.5216314631669495,0.5273695731753634
4.111829402435829,0.5219493398025911,0.5278550082904462
4.3813102745333055,0.5222270371313473,0.5280077311267708
4.668452370703794,0.5226574800641871,0.5282707454798379
4.974413171377441,0.5230024661342628,0.5286462714172031
5.300426015879662,0.5230934305545805,0.5292326632560547
5.647805074067546,0.5233724755754567,0.5295675714474752
6.017950643797328,0.5236706260434465,inf
6.412354795576917,0.5238480680382611,inf
6.832607387157405,0.5239793269559829,inf
7.2804024723085465,0.524091406173886,inf
7.757545129612398,0.5244500030666571,inf
8.265958738801796,0.5246845595532191,inf
8.807692733975452,0.5247960692229388,inf
9.38493086494272,0.5248961108766478,inf
10.0,0.5249479788295204,inf
